condition,hidden_width,fold,epoch,train_loss,balanced_accuracy_full
text,128,0,1,1.0747447490614046,0.4269531265843452
text,128,0,2,1.0506915411635223,0.4625448472574729
text,128,0,3,1.0376272884072768,0.4544273130235899
text,128,0,4,1.0156334113809191,0.4637022122741347
text,128,0,5,1.0141559996216016,0.46293858778885233
text,128,0,6,0.9979375938567965,0.4380654408849398
text,128,0,7,0.9902973143030611,0.46192910094210143
text,128,0,8,0.9713913063084615,0.4576216588129509
text,128,0,9,0.9664623305870204,0.47026892630135597
text,128,0,10,0.9572597642511842,0.4545128848651407
text,128,0,11,0.9441163682992287,0.45049576739883834
text,128,0,12,0.9416389628546846,0.4711437829708143
text,128,0,13,0.9273768990616934,0.4635876986640948
text,128,0,14,0.9179541501224217,0.4625627422382712
text,128,0,15,0.9126857053714231,0.46037554961080757
text,128,0,16,0.9117145306978934,0.45705981144600877
text,128,0,17,0.8921254607954066,0.47828281027914593
text,128,0,18,0.8846116150124441,0.4656278080012046
text,128,0,19,0.8756350960608119,0.46828848388484623
text,128,0,20,0.8722830287675329,0.45248885655291676
text,128,0,21,0.8671663090162031,0.47271499489534463
text,128,0,22,0.8620966073141464,0.46959824157967267
text,128,0,23,0.8533305846547596,0.4604586349060515
text,128,0,24,0.8424913035702635,0.4714542547732059
text,128,0,25,0.83620879712981,0.45448704108877136
text,128,0,26,0.8330130250853005,0.4775034104918843
text,128,0,27,0.8332347017876094,0.4695776766188236
text,128,0,28,0.8231531928650012,0.47282091769170975
text,128,0,29,0.8286156236168755,0.4630288881446914
text,128,0,30,0.8026100068728025,0.46956469358605774
text,128,0,31,0.8066632156679757,0.4774904886036997
text,128,0,32,0.806706725203948,0.4779872985176495
text,128,0,33,0.794871345098941,0.4663161125530702
text,128,0,34,0.790390089559352,0.4650427562656534
text,128,0,35,0.7951738148722693,0.4721997702716554
text,128,0,36,0.7995230306026547,0.47216330771966436
text,128,0,37,0.7801438261163925,0.47275385227677047
text,128,0,38,0.7822890618844693,0.46696850485417657
text,128,0,39,0.7829064097788698,0.4708044407352783
text,128,0,40,0.757104652848667,0.4766985032234506
text,128,0,41,0.7713361467020339,0.45766809812245984
text,128,0,42,0.7629669533961334,0.47158104825332653
text,128,0,43,0.767432102034844,0.4720521978246511
text,128,0,44,0.7578839475195641,0.47864760904203624
text,128,0,45,0.7563393844411758,0.4675353864583136
text,128,0,46,0.7678996882515191,0.4648510170494124
text,128,0,47,0.7527619219005909,0.46429714905033187
text,128,0,48,0.7518029489206401,0.4562987652239052
text,128,0,49,0.746453509969552,0.4661477611391822
text,128,0,50,0.7464939567287594,0.4688088344626024
text,256,0,1,1.0793545494070218,0.44005582948667676
text,256,0,2,1.047721737843828,0.48224271679886427
text,256,0,3,1.0267317435642247,0.4594210623149497
text,256,0,4,1.0030552597854945,0.4410893767261752
text,256,0,5,0.9979931908750237,0.47475433992518795
text,256,0,6,0.9814638962637898,0.4761806697642919
text,256,0,7,0.9728407947461878,0.4616233067001804
text,256,0,8,0.958435152598455,0.46173186890430556
text,256,0,9,0.9417074521252494,0.4622031713370834
text,256,0,10,0.9349882132375276,0.46895637633731607
text,256,0,11,0.9189825096444306,0.47163285809522765
text,256,0,12,0.9114730704076712,0.4512879362128314
text,256,0,13,0.895482722575884,0.46764140097155077
text,256,0,14,0.8949420977880476,0.46432839393138403
text,256,0,15,0.8790571362004684,0.4611237656615986
text,256,0,16,0.8778116432635698,0.45842632150305934
text,256,0,17,0.8644475839273132,0.47540424567998757
text,256,0,18,0.8501633579247591,0.4735094973941912
text,256,0,19,0.8347537502319431,0.458936481317263
text,256,0,20,0.842661366652474,0.47085628114947004
text,256,0,21,0.827364432432985,0.45572681881028254
text,256,0,22,0.8229819305053196,0.4497786127953556
text,256,0,23,0.807549510027907,0.4740477735250363
text,256,0,24,0.8085399680437512,0.46431025437226053
text,256,0,25,0.7990788967149437,0.4472290468067273
text,256,0,26,0.799784951646563,0.45572175400079695
text,256,0,27,0.7851115871248892,0.47142316275360713
text,256,0,28,0.7835012547625427,0.4525455783428502
text,256,0,29,0.7754974961476055,0.4538115361359279
text,256,0,30,0.7753118696737555,0.4576940641879917
text,256,0,31,0.767606484569802,0.4589651785074269
text,256,0,32,0.7553392667634503,0.45425638334652324
text,256,0,33,0.7566520350704886,0.4733388122954498
text,256,0,34,0.7543332894981551,0.45302974151923125
text,256,0,35,0.756950730872162,0.46882200092911225
text,256,0,36,0.7456792507099785,0.44257761545386093
text,256,0,37,0.7436071794774155,0.4648536870294631
text,256,0,38,0.7358871111118556,0.4556259608234032
text,256,0,39,0.7341943847090543,0.472114351291558
text,256,0,40,0.7317173801560188,0.45904007042877454
text,256,0,41,0.727158096669894,0.46887356619268816
text,256,0,42,0.7302205007153576,0.4622834643631138
text,256,0,43,0.7166483193548085,0.4628682103757586
text,256,0,44,0.7275735610358409,0.46889701513962256
text,256,0,45,0.7226994771509142,0.4674861854518821
text,256,0,46,0.7186914841112761,0.45760612808929685
text,256,0,47,0.7143554802297023,0.4656173115147455
text,256,0,48,0.7167128975220364,0.44582346536221634
text,256,0,49,0.7131823535594947,0.45369502513623167
text,256,0,50,0.7182922771708754,0.4655602228573242
text,512,0,1,1.0786616133347207,0.43873069392964953
text,512,0,2,1.0444061415647625,0.45632776813697573
text,512,0,3,1.022214913852403,0.4544848602653711
text,512,0,4,1.001007971082638,0.4485460501344396
text,512,0,5,0.9861839385919793,0.47468718279337674
text,512,0,6,0.9770653576996144,0.4347886518184388
text,512,0,7,0.9586689398986099,0.4622885291725995
text,512,0,8,0.9390586135116438,0.47818401082650414
text,512,0,9,0.9246350743908824,0.47424224386590935
text,512,0,10,0.9146611962676088,0.4642245908138378
text,512,0,11,0.8949963171053354,0.4689275874302801
text,512,0,12,0.8836291787704795,0.480661232584673
text,512,0,13,0.8698871361010589,0.45904537981658544
text,512,0,14,0.8502940159136063,0.4787460416271902
text,512,0,15,0.8564093393495424,0.46354116763771397
text,512,0,16,0.8318981402161627,0.47871485789071944
text,512,0,17,0.828364617231827,0.4814299524517316
text,512,0,18,0.8228022039737071,0.46817197288515006
text,512,0,19,0.8104656066341631,0.4582478404702002
text,512,0,20,0.7977164261972869,0.4681902041611456
text,512,0,21,0.7919144893411023,0.4720443407459521
text,512,0,22,0.7796258302426831,0.4589366036064256
text,512,0,23,0.7848317571596907,0.4753757013512769
text,512,0,24,0.7735173557962779,0.46235083550095973
text,512,0,25,0.7600981945918108,0.4707994982149553
text,512,0,26,0.7612577042070483,0.46426602645844245
text,512,0,27,0.7574826503557492,0.48412469605792935
text,512,0,28,0.7489309476665931,0.4529752311249888
text,512,0,29,0.7388097947830066,0.4577122648916965
text,512,0,30,0.7368054343488152,0.4688709879295094
text,512,0,31,0.73359599474255,0.46294859511866093
text,512,0,32,0.7273269342743605,0.46163880685154385
text,512,0,33,0.7262705152166737,0.46628250341487393
text,512,0,34,0.7179847813183622,0.46361136161706384
text,512,0,35,0.7190639133965661,0.4661996321256647
text,512,0,36,0.7114439424904612,0.4558148160535587
text,512,0,37,0.7132253910805646,0.455724485125429
text,512,0,38,0.7069974612338481,0.46161541904919073
text,512,0,39,0.7098436826492894,0.4675871657279241
text,512,0,40,0.7086922118322521,0.46941457344816534
text,512,0,41,0.7032884724055045,0.4629357343750577
text,512,0,42,0.696754084252702,0.46085968221489804
text,512,0,43,0.6974900845149054,0.4648484999308149
text,512,0,44,0.6946920901488133,0.46374592045901153
text,512,0,45,0.6963457132885192,0.4616026194501688
text,512,0,46,0.6869903297999083,0.4524836694542686
text,512,0,47,0.6910511571346561,0.4747363837998084
text,512,0,48,0.6759814380662308,0.46350780307784295
text,512,0,49,0.694132022513275,0.4662177411124975
text,512,0,50,0.6842617457943044,0.45835916437124813
image,128,0,1,1.0744168984862652,0.4619258500885282
image,128,0,2,1.0270705260958704,0.48347003121655074
image,128,0,3,1.005417486116451,0.49476322137943923
image,128,0,4,0.9822322041567451,0.49461874692455493
image,128,0,5,0.9597414227301981,0.4947990419133264
image,128,0,6,0.94344834936981,0.5110133416049724
image,128,0,7,0.929451741783337,0.4809339679896296
image,128,0,8,0.8936109469829525,0.49651266975850356
image,128,0,9,0.8686188608359166,0.5011851246565789
image,128,0,10,0.8560658158179857,0.515170969319137
image,128,0,11,0.823693662130204,0.4926204400995376
image,128,0,12,0.8001921486940455,0.5103405677767608
image,128,0,13,0.7814149405188612,0.5057099153907779
image,128,0,14,0.7551880770146632,0.5307763097439374
image,128,0,15,0.7367858901751694,0.5123259527135935
image,128,0,16,0.6910300090435564,0.5367841521071738
image,128,0,17,0.6667209277377923,0.524248269664398
image,128,0,18,0.6371041503141561,0.5037896596238096
image,128,0,19,0.6095236541597796,0.4932105872168652
image,128,0,20,0.5966568500769946,0.5084071761155732
image,128,0,21,0.5848469587376655,0.4985089486215739
image,128,0,22,0.5459071201767408,0.5064349882175411
image,128,0,23,0.5385750813285836,0.4921650046856112
image,128,0,24,0.5093982636909035,0.485978375566609
image,128,0,25,0.5012917879211133,0.4974011514788316
image,128,0,26,0.47014859197688735,0.4959387259552246
image,128,0,27,0.46977380717577716,0.49313278073714156
image,128,0,28,0.44668981120541884,0.49769876253761997
image,128,0,29,0.4100636551019367,0.508212980925316
image,128,0,30,0.3931350380113935,0.5005433205588036
image,128,0,31,0.3696267679211666,0.4938937352423731
image,128,0,32,0.3820380041179913,0.49002907159881687
image,128,0,33,0.3332896751631997,0.49648725399420357
image,128,0,34,0.3510705042170416,0.5045348082547711
image,128,0,35,0.3518516591854108,0.49577307509367813
image,128,0,36,0.3293488129822106,0.5070869219342876
image,128,0,37,0.2988442044364715,0.4721535449681811
image,128,0,38,0.32299605793848296,0.48618279209270937
image,128,0,39,0.3099024920454972,0.4831903864739055
image,128,0,40,0.31419148661447593,0.5108765102227523
image,128,0,41,0.2898987611365873,0.4966867279999809
