external_code,fold
1,2
2,3
3,1
4,2
5,4
6,1
7,0
8,4
9,2
10,0
11,2
12,1
13,1
14,1
15,3
16,0
17,4
18,4
19,3
20,0
21,1
22,2
23,1
24,4
25,0
26,0
27,3
28,3
29,3
30,0
31,1
32,0
33,2
34,4
35,2
36,1
37,3
38,2
39,0
40,4
41,1
42,1
43,4
44,2
45,4
46,3
47,4
48,1
49,4
50,2
51,2
52,3
53,3
54,4
55,2
56,1
57,0
58,4
59,0
60,0
61,2
62,0
63,3
64,0
65,1
66,4
67,2
68,0
69,2
70,3
71,1
72,3
73,1
74,3
75,4
76,4
77,2
78,2
79,1
80,4
81,3
82,4
83,2
84,1
85,0
86,3
87,2
88,4
89,0
90,2
91,3
92,2
93,4
94,3
95,2
96,0
97,2
98,3
99,1
100,1
101,0
102,3
103,3
104,2
105,2
106,1
107,2
108,4
109,2
110,4
111,4
112,3
113,4
114,3
115,0
116,1
117,0
118,1
119,3
120,3
121,4
122,0
123,3
124,1
125,3
126,0
127,0
128,3
129,3
130,2
131,2
132,3
133,3
134,3
135,2
136,1
137,2
138,2
139,4
140,3
141,4
142,3
143,2
144,2
145,1
146,1
147,1
148,3
149,4
150,4
151,2
152,0
153,3
154,3
155,4
156,0
157,1
158,1
159,3
160,1
161,2
162,0
163,3
164,2
165,4
166,1
167,1
168,2
169,0
170,3
171,2
172,2
173,3
174,3
175,2
176,0
177,4
178,2
179,0
180,0
181,1
182,4
183,2
184,0
185,0
186,2
187,1
188,4
189,1
190,3
191,3
192,2
193,2
194,1
195,3
196,0
197,4
198,3
199,3
200,2
201,2
202,0
203,1
204,2
205,2
206,0
207,2
208,1
209,2
210,1
211,0
212,0
213,0
214,4
215,2
216,3
217,4
218,0
219,3
220,0
221,2
222,1
223,1
224,3
225,0
226,4
227,3
228,1
229,1
230,1
231,1
232,2
233,1
234,3
235,2
236,0
237,2
238,0
239,4
240,2
241,1
242,1
243,0
244,0
245,3
246,2
247,4
248,3
249,0
250,3
251,2
252,4
253,3
254,2
255,2
256,2
257,3
258,3
259,0
260,0
261,1
262,1
263,3
264,2
265,2
266,4
267,1
268,2
269,1
270,2
271,0
272,4
273,2
274,4
275,3
276,3
277,1
278,1
279,4
280,2
281,1
282,1
283,4
284,0
285,1
286,0
287,0
288,2
289,4
290,1
291,3
292,2
293,3
294,3
295,3
296,0
297,0
298,0
299,0
300,1
301,4
302,0
303,3
304,4
305,1
306,1
307,3
308,4
309,2
310,0
311,2
312,2
313,3
314,3
315,2
316,4
317,1
318,0
319,2
320,0
321,1
322,2
323,2
324,3
325,1
326,1
327,3
328,0
329,1
330,2
331,0
332,2
333,4
334,0
335,1
336,3
337,4
338,3
339,2
340,0
341,3
342,0
343,2
344,2
345,3
346,3
347,2
348,1
349,1
350,0
351,2
352,4
353,2
354,4
355,4
356,4
357,0
358,4
359,3
360,4
361,3
362,2
363,4
364,2
365,3
366,4
367,3
368,3
369,3
370,4
371,1
372,4
373,1
374,3
375,4
376,4
377,3
378,4
379,4
380,0
381,2
382,3
383,2
384,0
385,0
386,1
387,3
388,4
389,4
390,0
391,0
392,0
393,2
394,2
395,1
396,0
397,2
398,1
399,4
400,3
401,2
402,2
403,4
404,4
405,3
406,3
407,3
408,0
409,4
410,3
411,4
412,1
413,2
414,1
415,0
416,3
417,0
418,0
419,2
420,4
421,0
422,3
423,2
424,0
425,3
426,3
427,3
428,0
429,0
430,2
431,4
432,1
433,0
434,2
435,2
436,0
437,2
438,0
439,2
440,4
441,3
442,0
443,0
444,0
445,2
446,1
447,3
448,1
449,0
450,2
451,1
452,0
453,4
454,0
455,3
456,1
457,3
458,0
459,0
460,4
461,3
462,2
463,4
464,2
465,0
466,0
467,3
468,2
469,3
470,1
471,3
472,0
473,4
474,0
475,0
476,1
477,4
478,2
479,0
480,2
481,3
482,4
483,3
484,0
485,3
486,0
487,1
488,2
489,1
490,2
491,3
492,2
493,3
494,0
495,4
496,4
497,3
498,1
499,1
500,2
501,4
502,3
503,4
504,2
505,0
506,3
507,3
508,4
509,0
510,4
511,4
512,2
513,1
514,4
515,0
516,0
517,1
518,3
519,2
520,4
521,2
522,1
523,4
524,2
525,1
526,1
527,0
528,0
529,4
530,4
531,1
532,1
533,4
534,0
535,2
536,1
537,1
538,3
539,2
540,1
541,1
542,4
543,4
544,2
545,3
546,3
547,2
548,2
549,3
550,0
551,4
552,0
553,0
554,1
555,1
556,2
557,0
558,1
559,3
560,4
561,4
562,1
563,1
564,4
565,3
566,0
567,0
568,3
569,4
570,4
571,3
572,0
573,0
574,2
575,2
576,1
577,2
578,4
579,1
580,0
581,2
582,4
583,0
584,3
585,0
586,2
587,3
588,0
589,2
590,4
591,0
592,4
593,0
594,3
595,4
596,3
597,4
598,1
599,2
600,4
601,2
602,0
603,4
604,3
605,4
606,4
607,1
608,3
609,0
610,3
611,0
612,1
613,2
614,3
615,1
616,0
617,0
618,1
619,2
620,3
621,2
622,4
623,4
624,2
625,2
626,4
627,0
628,4
629,0
630,2
631,4
632,4
633,4
634,3
635,4
636,4
637,0
638,4
639,3
640,0
641,3
642,2
643,4
644,4
645,3
646,1
647,3
648,0
649,4
650,2
651,2
652,1
653,2
654,3
655,3
656,0
657,2
658,2
659,1
660,3
661,2
662,1
663,3
664,3
665,2
666,0
667,4
668,4
669,3
670,2
671,3
672,1
673,2
674,2
675,2
676,3
677,4
678,0
679,3
680,2
681,3
682,3
683,1
684,3
685,3
686,0
687,1
688,1
689,0
690,1
691,4
692,1
693,2
694,4
695,1
696,4
697,2
698,1
699,3
700,2
701,1
702,0
703,4
704,4
705,0
706,0
707,4
708,4
709,0
710,2
711,1
712,3
713,0
714,3
715,2
716,1
717,4
718,2
719,2
720,1
721,3
722,0
723,1
724,1
725,2
726,3
727,2
728,4
729,2
730,1
731,3
732,2
733,2
734,1
735,4
736,2
737,2
738,0
739,1
740,1
741,4
742,4
743,3
744,4
745,1
746,2
747,2
748,1
749,3
750,4
751,3
752,1
753,1
754,3
755,1
756,1
757,4
758,1
759,1
760,0
761,0
762,4
763,4
764,2
765,3
766,0
767,0
768,4
769,3
770,3
771,4
772,4
773,0
774,0
775,1
776,4
777,1
778,3
779,4
780,4
781,4
782,3
783,1
784,1
785,3
786,3
787,3
788,2
789,3
790,3
791,4
792,4
793,0
794,3
795,2
796,4
797,3
798,4
799,2
800,4
801,0
802,2
803,0
804,4
805,2
806,2
807,0
808,1
809,0
810,2
811,1
812,0
813,3
814,0
815,2
816,4
817,4
818,1
819,3
820,1
821,0
822,2
823,4
824,2
825,2
826,3
827,3
828,2
829,4
830,0
831,3
832,4
833,4
834,0
835,0
836,0
837,2
838,4
839,0
840,4
841,3
842,1
843,0
844,3
845,0
846,0
847,3
848,3
849,0
850,3
851,4
852,1
853,0
854,2
855,0
856,1
857,0
858,4
859,0
860,1
861,0
862,0
863,2
864,2
865,4
866,4
867,3
868,2
869,1
870,4
871,0
872,3
873,2
874,1
875,0
876,3
877,4
878,4
879,0
880,0
881,3
882,3
883,2
884,0
885,4
886,4
887,1
888,4
889,3
890,0
891,3
892,2
893,4
894,4
895,2
896,0
897,4
898,3
899,0
900,0
901,0
902,2
903,3
904,1
905,0
906,1
907,0
908,4
909,3
910,1
911,4
912,2
913,2
914,2
915,0
916,1
917,2
918,0
919,0
920,1
921,4
922,3
923,2
924,0
925,3
926,4
927,1
928,4
929,2
930,2
931,3
932,3
933,1
934,3
935,0
936,1
937,2
938,2
939,1
940,4
941,4
942,2
943,2
944,4
945,4
946,0
947,4
