external_code,fold,split,label,in_buffer
2,0,train,2,False
3,0,train,2,False
4,0,train,1,False
5,0,train,2,False
6,0,train,2,False
7,0,val,2,False
8,0,train,1,False
9,0,train,2,False
10,0,val,1,True
11,0,train,0,False
12,0,train,2,False
14,0,train,0,False
15,0,train,0,False
16,0,val,2,False
17,0,train,0,False
18,0,train,0,False
19,0,train,0,False
20,0,val,0,False
21,0,train,1,False
23,0,train,1,False
24,0,train,0,False
25,0,val,0,False
26,0,val,0,False
27,0,train,0,False
28,0,train,0,False
29,0,train,1,False
30,0,val,0,False
32,0,val,0,False
33,0,train,0,False
34,0,train,0,False
35,0,train,1,False
38,0,train,1,False
39,0,val,0,False
40,0,train,0,False
43,0,train,0,False
45,0,train,1,False
46,0,train,0,False
47,0,train,0,False
48,0,train,0,False
49,0,train,0,False
50,0,train,0,False
51,0,train,0,False
52,0,train,1,False
54,0,train,0,False
55,0,train,1,False
57,0,val,0,False
59,0,val,0,False
60,0,val,1,True
62,0,val,0,False
63,0,train,0,False
64,0,val,0,False
65,0,train,0,False
66,0,train,0,False
67,0,train,0,False
68,0,val,0,False
69,0,train,0,False
70,0,train,0,False
71,0,train,0,False
72,0,train,0,False
73,0,train,1,False
74,0,train,2,False
75,0,train,1,False
76,0,train,1,False
77,0,train,0,False
78,0,train,0,False
79,0,train,0,False
80,0,train,0,False
81,0,train,1,False
83,0,train,1,False
84,0,train,1,False
85,0,val,0,False
86,0,train,0,False
87,0,train,2,False
89,0,val,0,False
91,0,train,0,False
92,0,train,0,False
93,0,train,0,False
95,0,train,1,False
96,0,val,0,False
97,0,train,0,False
98,0,train,0,False
99,0,train,0,False
100,0,train,1,False
101,0,val,0,False
103,0,train,0,False
105,0,train,0,False
106,0,train,0,False
107,0,train,1,False
108,0,train,0,False
109,0,train,0,False
110,0,train,0,False
111,0,train,0,False
112,0,train,0,False
113,0,train,0,False
114,0,train,1,False
115,0,val,0,False
116,0,train,0,False
117,0,val,1,False
118,0,train,0,False
119,0,train,0,False
120,0,train,0,False
121,0,train,0,False
122,0,val,0,False
123,0,train,0,False
124,0,train,0,False
125,0,train,0,False
126,0,val,0,False
127,0,val,0,False
128,0,train,0,False
130,0,train,0,False
131,0,train,0,False
133,0,train,1,False
134,0,train,1,False
135,0,train,1,False
136,0,train,0,False
137,0,train,1,False
139,0,train,0,False
140,0,train,1,False
142,0,train,0,False
143,0,train,0,False
144,0,train,0,False
145,0,train,0,False
147,0,train,0,False
148,0,train,0,False
150,0,train,0,False
151,0,train,0,False
152,0,val,0,False
153,0,train,0,False
154,0,train,0,False
155,0,train,0,False
156,0,val,0,False
157,0,train,0,False
158,0,train,0,False
159,0,train,1,False
160,0,train,0,False
161,0,train,0,False
162,0,val,0,False
163,0,train,0,False
166,0,train,1,False
167,0,train,0,False
168,0,train,0,False
169,0,val,1,True
170,0,train,0,False
171,0,train,0,False
172,0,train,1,False
173,0,train,0,False
174,0,train,1,False
176,0,val,0,False
177,0,train,1,False
179,0,val,1,False
180,0,val,0,False
181,0,train,1,False
182,0,train,0,False
184,0,val,1,True
185,0,val,0,False
186,0,train,0,False
187,0,train,0,False
188,0,train,1,False
189,0,train,0,False
190,0,train,0,False
191,0,train,0,False
192,0,train,0,False
194,0,train,0,False
196,0,val,1,False
197,0,train,0,False
198,0,train,2,False
199,0,train,0,False
201,0,train,0,False
202,0,val,0,False
204,0,train,0,False
205,0,train,0,False
206,0,val,0,False
207,0,train,0,False
208,0,train,0,False
209,0,train,0,False
210,0,train,0,False
211,0,val,0,False
212,0,val,0,False
213,0,val,0,False
214,0,train,0,False
215,0,train,0,False
216,0,train,0,False
217,0,train,0,False
218,0,val,1,False
220,0,val,1,False
222,0,train,0,False
223,0,train,0,False
224,0,train,0,False
225,0,val,0,False
226,0,train,0,False
227,0,train,1,False
228,0,train,0,False
229,0,train,0,False
230,0,train,0,False
231,0,train,2,False
233,0,train,0,False
235,0,train,1,False
236,0,val,0,False
238,0,val,0,False
239,0,train,0,False
240,0,train,0,False
241,0,train,2,False
242,0,train,0,False
243,0,val,0,False
244,0,val,0,False
245,0,train,0,False
246,0,train,0,False
247,0,train,0,False
249,0,val,1,False
251,0,train,2,False
253,0,train,1,False
255,0,train,0,False
256,0,train,0,False
257,0,train,0,False
259,0,val,1,True
260,0,val,0,False
262,0,train,0,False
263,0,train,0,False
264,0,train,0,False
265,0,train,0,False
266,0,train,0,False
267,0,train,0,False
268,0,train,0,False
