external_code,w,h,low_res
1,403,417,False
2,360,367,False
3,181,490,False
4,322,376,False
5,404,409,False
6,382,371,False
7,366,390,False
8,335,377,False
9,173,483,False
10,297,286,False
11,298,333,False
12,361,389,False
13,349,375,False
14,301,413,False
15,299,342,False
16,256,357,False
17,305,342,False
18,320,405,False
19,331,368,False
20,298,344,False
21,342,389,False
22,346,374,False
23,284,216,False
24,294,404,False
25,445,506,False
26,334,493,False
27,292,397,False
28,340,480,False
29,245,351,False
30,348,463,False
31,375,330,False
32,451,665,False
33,155,508,False
34,303,514,False
35,369,434,False
36,323,449,False
37,253,440,False
38,398,292,False
39,287,508,False
40,358,446,False
41,288,351,False
42,289,541,False
43,449,326,False
44,269,342,False
45,270,341,False
46,259,459,False
47,144,519,False
48,406,439,False
49,420,434,False
50,302,436,False
51,347,439,False
52,363,507,False
53,431,338,False
54,287,385,False
55,154,380,False
56,232,496,False
57,330,382,False
58,305,342,False
59,290,372,False
60,474,615,False
61,245,504,False
62,416,356,False
63,314,458,False
64,284,433,False
65,256,377,False
66,303,545,False
67,380,431,False
68,319,321,False
69,260,408,False
70,286,362,False
71,527,621,False
72,272,514,False
73,291,430,False
74,211,484,False
75,215,504,False
76,289,399,False
77,201,418,False
78,420,389,False
79,447,571,False
80,236,355,False
81,234,364,False
82,249,381,False
83,374,345,False
84,179,382,False
85,302,263,False
86,395,398,False
87,326,657,False
88,320,505,False
89,268,321,False
90,281,382,False
91,550,583,False
92,350,517,False
93,303,387,False
94,256,500,False
95,254,372,False
96,557,554,False
97,440,583,False
98,188,315,False
99,329,342,False
100,309,454,False
101,393,613,False
102,146,370,False
103,185,360,False
104,430,320,False
105,537,460,False
106,271,445,False
107,236,457,False
108,316,360,False
109,562,617,False
110,176,379,False
111,457,503,False
112,388,330,False
113,556,594,False
114,330,485,False
115,468,644,False
116,852,640,False
117,187,399,False
118,512,507,False
119,459,378,False
120,136,376,False
121,434,464,False
122,280,422,False
123,420,308,False
124,166,568,False
125,273,400,False
126,303,338,False
127,546,503,False
128,241,309,False
129,335,379,False
130,366,496,False
131,396,465,False
132,172,390,False
133,357,389,False
134,267,392,False
135,365,388,False
136,466,726,False
137,205,297,False
138,246,367,False
139,301,361,False
140,560,489,False
141,210,403,False
142,270,299,False
143,557,429,False
144,155,577,False
145,379,421,False
146,310,494,False
147,540,400,False
148,354,410,False
149,250,298,False
150,242,305,False
151,419,369,False
152,310,348,False
153,417,584,False
154,342,341,False
155,198,409,False
156,513,571,False
157,549,456,False
158,375,502,False
159,301,289,False
160,517,509,False
161,366,221,False
162,267,734,False
163,386,410,False
164,220,393,False
165,144,385,False
166,202,401,False
167,308,372,False
168,300,379,False
169,130,370,False
170,140,379,False
171,473,581,False
172,405,365,False
173,412,397,False
174,210,418,False
175,288,353,False
176,233,485,False
177,424,374,False
178,382,382,False
179,419,368,False
180,263,720,False
181,264,332,False
182,346,278,False
183,467,413,False
184,409,302,False
185,199,412,False
186,367,430,False
187,303,365,False
188,303,738,False
189,233,480,False
190,293,331,False
191,193,368,False
192,386,354,False
193,329,343,False
194,358,359,False
195,360,381,False
196,148,346,False
197,344,389,False
198,349,386,False
199,263,306,False
200,300,311,False
201,247,292,False
202,154,540,False
203,436,409,False
204,324,374,False
205,350,385,False
206,452,440,False
207,524,633,False
208,215,397,False
209,401,374,False
210,256,494,False
211,551,642,False
212,272,359,False
213,324,336,False
214,328,502,False
215,355,374,False
216,334,363,False
217,161,323,False
218,257,449,False
219,316,630,False
220,238,464,False
221,419,356,False
222,467,691,False
223,322,421,False
224,461,733,False
225,165,360,False
226,417,315,False
227,228,509,False
228,310,501,False
229,265,345,False
230,426,313,False
231,313,307,False
232,505,452,False
233,328,414,False
234,223,710,False
235,501,673,False
236,188,272,False
237,120,401,False
238,171,311,False
239,248,326,False
240,311,362,False
241,292,300,False
242,279,673,False
243,382,314,False
244,147,360,False
245,387,381,False
246,469,579,False
247,381,293,False
248,357,278,False
249,460,479,False
250,493,530,False
251,313,737,False
252,357,691,False
253,165,442,False
254,289,384,False
255,389,380,False
256,398,394,False
257,171,385,False
258,320,356,False
259,494,411,False
260,324,295,False
261,274,389,False
262,245,758,False
263,553,463,False
264,384,827,False
265,391,362,False
266,184,325,False
267,519,612,False
268,517,349,False
269,233,357,False
270,482,417,False
271,534,754,False
272,261,665,False
273,404,259,False
274,353,623,False
275,196,282,False
276,432,389,False
277,196,288,False
278,401,593,False
279,461,482,False
280,497,405,False
281,309,384,False
282,478,457,False
283,541,528,False
284,323,605,False
285,207,425,False
286,531,596,False
287,567,680,False
288,246,691,False
289,298,304,False
290,531,509,False
291,181,251,False
292,499,584,False
293,441,322,False
294,410,668,False
295,399,372,False
